CMOR Table 6hrPlev: Fields (Sampled Every 6 Hours) for Storm-Track Analysis and other Advanced Diagnostic Applications,,,,,6hrPlev,6hr,,,,,,,,,,,,,,,,
"The 6-hourly data on pressure levels should be sampled as ""snapshots"" (not as 6-hour means) at 0Z, 6Z, 12Z, and 18Z and should be collected only for the following experiments and years.",,,,,,,,,,,,,,,,,,,,,,
,,,experiment,time-period requested,,,,,,,,,,,,,,,,,,
,,,decadal hindcasts/forecasts,all years,,,,,,,,,,,,,,,,,,
,,,historical,Jan 1950 - Dec 2005,,,,,,,,,,,,,,,,,,
,,,AMIP,all years,,,,,,,,,,,,,,,,,,
,,,RCP4.5 and RCP8.5,Jan 2006 - Dec 2100,,,,,,,,,,,,,,,,,,
,,,preindustrial control ,30 years -- preferably corresponding to years 1979-2008 of the historical run,,,,,,,,,,,,,,,,,,
,,,Last glacial maximum paleo-run,last 30 years,,,,,,,,,,,,,,,,,,
,,,mid-Holocene paleo- run,last 30 years,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Eastward Wind,m s-1,"on the following pressure levels: 850, 500, 250 hPa",,ua,eastward_wind,,m s-1,,,,,,,real,longitude latitude plev3 time1,ua,atmos,,area: areacella,,
1.0,Northward Wind,m s-1,"on the following pressure levels: 850, 500, 250 hPa",,va,northward_wind,,m s-1,,,,,,,real,longitude latitude plev3 time1,va,atmos,,area: areacella,,
1.0,Air Temperature,K,"on the following pressure levels: 850, 500, 250 hPa",,ta,air_temperature,,K,,,,,,,real,longitude latitude plev3 time1,ta,atmos,,area: areacella,,
1.0,Sea Level Pressure,Pa,,,psl,air_pressure_at_sea_level,,Pa,,,,,,,real,longitude latitude time1,psl,atmos,,area: areacella,,


